Ano,Indice_1800_igual_1
1800,1
1801,1.0746912
1802,1.2913445
1803,1.1346982
1804,1.1717837
1805,1.0732499
1806,1.0836267
1807,1.0685849
1808,0.7368884
1809,1.0755724
1810,1.0822095
1811,0.92123836
1812,0.9019311
1813,0.9185378
1814,0.9534003
1815,1.1984261
1816,1.2462443
1817,1.3458966
1818,1.3154356
1819,1.1669761
1820,1.3705693
1821,1.392114
1822,1.4322834
1823,1.4393463
1824,1.656757
1825,1.5878899
1826,1.7724626
1827,1.8963742
1828,1.9320124
1829,2.0049877
1830,2.1074703
1831,2.0501204
1832,2.0970628
1833,2.2220047
1834,2.310113
1835,2.3647199
1836,2.5279274
1837,2.5009227
1838,2.6951466
1839,2.6786804
1840,2.9263008
1841,2.9642792
1842,2.9408402
1843,3.1026742
1844,3.4792492
1845,3.6540465
1846,3.7155526
1847,3.7985651
1848,3.6174557
1849,4.100099
1850,4.210168
1851,4.5026445
1852,5.0261874
1853,5.535218
1854,5.2685947
1855,5.603007
1856,6.2158384
1857,6.279226
1858,6.223298
1859,6.696992
1860,7.01546
1861,6.87871
1862,6.955945
1863,7.5940366
1864,7.9288063
1865,8.923454
1866,9.269865
1867,9.289665
1868,9.424835
1869,9.914922
1870,10.405445
1871,11.256362
1872,11.740448
1873,12.16317
1874,12.275807
1875,12.603918
1876,12.929987
1877,13.456215
1878,13.660828
1879,14.259474
1880,14.761332
1881,15.514634
1882,16.261667
1883,16.738424
1884,16.823668
1885,16.743742
1886,17.342682
1887,17.710331
1888,18.432364
1889,19.431734
1890,20.242031
1891,19.855417
1892,19.57439
1893,19.487743
1894,20.758259
1895,21.844671
1896,22.843767
1897,24.051043
1898,24.67463
1899,25.797626
1900,25.474167
1901,25.978666
1902,27.395851
1903,28.344498
1904,28.985226
1905,30.976032
1906,32.654327
1907,33.07078
1908,32.366272
1909,33.67283
1910,35.852814
1911,37.160767
1912,40.118526
1913,41.833237
1914,36.385925
1915,30.784876
1916,35.344162
1917,35.447704
1918,31.490236
1919,35.01339
1920,38.188793
1921,32.06622
1922,36.80879
1923,39.333
1924,43.023746
1925,46.23902
1926,47.770306
1927,50.959568
1928,53.203693
1929,55.49539
1930,51.591923
1931,45.63221
1932,40.005356
1933,39.77289
1934,42.143856
1935,44.262066
1936,46.35794
1937,51.324795
1938,47.820866
1950,50.022854
1951,54.786938
1952,57.168976
1953,61.933056
1954,66.697136
1955,73.84326
1956,78.60734
1957,85.75346
1958,83.37142
1959,92.89958
1960,104.809784
1961,109.573875
1962,116.719986
1963,131.01224
1964,145.30449
1965,154.83264
1966,166.74284
1967,176.27101
1968,195.32733
1969,219.14775
1970,238.20407
1971,254.87834
1972,276.31674
1973,309.66528
1974,326.33957
1975,302.51917
1976,338.2498
1977,352.54202
1978,369.21628
1979,388.27264
1980,399.41867
1981,397.59332
1982,388.56662
1983,398.199
1984,431.5627
1985,442.77963
1986,460.58456
1987,485.93695
1988,527.2583
1989,561.2232
1990,582.59235
1991,603.13715
1992,635.1865
1993,661.86176
1994,722.22833
1995,775.1365
1996,814.2662
1997,895.32886
1998,936.75946
1999,981.0548
2000,1086.1799
2001,1087.6443
2002,1176.7344
2003,1241.099
2004,1357.1785
2005,1444.4667
2006,1565.9609
2007,1660.7739
2008,1700.754
2009,1493.2894
2010,1693.5745
2011,1782.298
2012,1817.8628
2013,1855.0812
2014,1898.5902
2015,1927.7012
2016,1954.3298
2017,2040.4756
2018,2101.1543
2019,2101.1304
2020,1993.3494
2021,2154.9036
2022,2188.9326
2023,2189.0793
2024,2256.7625
