Ano,Expectativa_vida_anos
1960,67.718
1961,68.3705
1962,68.6668
1963,69.7463
1964,70.1973
1965,70.257
1966,71.0552
1967,71.401
1968,71.6718
1969,71.9225
1970,72.0073
1971,72.827
1972,73.2584
1973,73.4218
1974,73.8494
1975,74.3569
1976,74.7611
1977,75.3257
1978,75.6571
1979,76.1671
1980,76.1408
1981,76.5629
1982,77.0723
1983,77.1069
1984,77.5068
1985,77.799
1986,78.2119
1987,78.6307
1988,78.5454
1989,78.9799
1990,78.9928
1991,79.262
1992,79.303
1993,79.4461
1994,79.8366
1995,79.6837
1996,80.3627
1997,80.5836
1998,80.6487
1999,80.6129
2000,81.1788
2001,81.5101
2002,81.7952
2003,81.854
2004,82.1275
2005,82.0073
2006,82.3699
2007,82.5488
2008,82.6332
2009,82.9699
2010,82.916
2011,82.6705
2012,83.1676
2013,83.4018
2014,83.6434
2015,83.8832
2016,84.0568
2017,84.1891
2018,84.289
2019,84.4177
2020,84.6703
2021,84.55
2022,84.0541
2023,84.7123
