Dates,Observations
2000 Sep,1052
2000 Oct,1079
2000 Nov,979
2000 Dec,767
2001 Jan,786
2001 Feb,941
2001 Mar,1059
2001 Apr,905
2001 May,1106
2001 Jun,1111
2001 Jul,1049
2001 Aug,1018
2001 Sep,1040
2001 Oct,1037
2001 Nov,1031
2001 Dec,771
2002 Jan,781
2002 Feb,899
2002 Mar,970
2002 Apr,968
2002 May,1029
2002 Jun,890
2002 Jul,1000
2002 Aug,930
2002 Sep,960
2002 Oct,1033
2002 Nov,921
2002 Dec,708
2003 Jan,705
2003 Feb,885
2003 Mar,1042
2003 Apr,987
2003 May,976
2003 Jun,1000
2003 Jul,1041
2003 Aug,947
2003 Sep,901
2003 Oct,1040
2003 Nov,976
2003 Dec,715
2004 Jan,716
2004 Feb,911
2004 Mar,996
2004 Apr,976
2004 May,1023
2004 Jun,1024
2004 Jul,1048
2004 Aug,950
2004 Sep,973
2004 Oct,1020
2004 Nov,946
2004 Dec,822
2005 Jan,687
2005 Feb,892
2005 Mar,965
2005 Apr,1014
2005 May,1018
2005 Jun,992
2005 Jul,1028
2005 Aug,954
2005 Sep,958
2005 Oct,1013
2005 Nov,925
2005 Dec,770
2006 Jan,743
2006 Feb,891
2006 Mar,1013
2006 Apr,942
2006 May,1018
2006 Jun,1021
2006 Jul,1042
2006 Aug,986
2006 Sep,962
2006 Oct,1030
2006 Nov,1011
2006 Dec,810
2007 Jan,762
2007 Feb,860
2007 Mar,1056
2007 Apr,1004
2007 May,1113
2007 Jun,1071
2007 Jul,1089
2007 Aug,1017
2007 Sep,1024
2007 Oct,1065
2007 Nov,1054
2007 Dec,772
2008 Jan,746
2008 Feb,916
