,Forma
0,debito
1,credito
2,boleto
3,debito
4,credito
5,credito
6,debito
7,credito
8,credito
9,credito
10,boleto
11,credito
12,credito
13,credito
14,debito
15,boleto
16,credito
17,boleto
18,pix
19,credito
20,credito
21,credito
22,pix
23,credito
24,credito
25,pix
26,debito
27,credito
28,pix
29,pix
30,credito
31,debito
32,credito
33,pix
34,credito
35,credito
36,credito
37,pix
38,credito
39,credito
40,credito
41,credito
42,credito
43,credito
44,boleto
45,credito
46,credito
47,dinheiro
48,debito
49,credito
50,credito
51,credito
52,credito
53,credito
54,credito
55,credito
56,credito
57,credito
58,credito
59,credito
60,credito
61,pix
62,credito
63,credito
64,credito
65,credito
66,pix
67,credito
68,credito
69,credito
70,debito
71,debito
72,boleto
73,credito
74,pix
75,credito
76,dinheiro
77,boleto
78,pix
79,dinheiro
80,pix
81,credito
82,debito
83,pix
84,credito
85,debito
86,credito
87,debito
88,credito
89,credito
90,credito
91,credito
92,credito
93,boleto
94,pix
95,credito
96,credito
97,credito
98,boleto
99,credito
100,credito
101,credito
102,credito
103,credito
104,credito
105,credito
106,credito
107,credito
108,credito
109,pix
110,debito
111,credito
112,credito
113,pix
114,boleto
115,credito
116,debito
117,pix
118,credito
119,boleto
120,credito
121,credito
122,boleto
123,credito
124,credito
125,credito
126,credito
127,debito
128,credito
129,credito
130,credito
131,pix
132,credito
133,debito
134,pix
135,credito
136,debito
137,dinheiro
138,pix
139,credito
140,pix
141,credito
142,dinheiro
143,credito
144,credito
145,credito
146,pix
147,debito
148,boleto
149,credito
150,debito
151,credito
152,pix
153,credito
154,credito
155,debito
156,credito
157,pix
158,credito
159,credito
160,pix
161,credito
162,credito
163,credito
164,credito
165,pix
166,credito
167,credito
168,credito
169,dinheiro
170,credito
171,credito
172,debito
173,boleto
174,credito
175,credito
176,boleto
177,credito
178,credito
179,credito
180,boleto
181,pix
182,credito
183,credito
184,credito
185,credito
186,credito
187,dinheiro
188,boleto
189,credito
190,credito
191,credito
192,debito
193,boleto
194,debito
195,credito
196,credito
197,credito
198,debito
199,credito
200,credito
201,pix
202,credito
203,boleto
204,pix
205,credito
206,pix
207,boleto
208,dinheiro
209,credito
210,boleto
211,debito
212,credito
213,credito
214,credito
215,debito
216,debito
217,pix
218,dinheiro
219,credito
220,boleto
221,credito
222,pix
223,credito
224,dinheiro
225,credito
226,credito
227,credito
228,boleto
229,dinheiro
230,pix
231,pix
232,dinheiro
233,debito
234,credito
235,credito
236,credito
237,credito
238,credito
239,boleto
240,credito
241,credito
242,credito
243,credito
244,credito
245,credito
246,credito
247,debito
248,debito
249,debito
250,pix
251,credito
252,credito
253,dinheiro
254,credito
255,credito
256,credito
257,credito
258,credito
259,debito
260,debito
261,debito
262,boleto
263,dinheiro
264,debito
265,credito
266,credito
267,credito
268,boleto
269,credito
270,credito
271,pix
272,boleto
273,credito
274,boleto
275,pix
276,credito
277,boleto
278,credito
279,credito
280,dinheiro
281,credito
282,boleto
283,credito
284,credito
285,credito
286,debito
287,dinheiro
288,pix
289,debito
290,credito
291,credito
292,pix
293,credito
294,credito
295,credito
296,credito
297,credito
298,credito
299,boleto
300,boleto
301,credito
302,pix
303,pix
304,pix
305,pix
306,credito
307,boleto
308,credito
309,credito
310,credito
311,debito
312,credito
313,credito
314,boleto
